rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,stoch1,stoch2,stoch3,stoch4,stoch5,stoch6,ema20Slope1,ema20Slope2,ema20Slope3,ema20Slope4,ema20Slope5,ema20Slope6,ema50Slope1,ema50Slope2,ema50Slope3,ema50Slope4,ema50Slope5,ema50Slope6,ema100Slope1,ema100Slope2,ema100Slope3,ema100Slope4,ema100Slope5,ema100Slope6,ema200Slope1,ema200Slope2,ema200Slope3,ema200Slope4,ema200Slope5,ema200Slope6,std1,std2,std3,std4,std5,std6,mom1,mom2,mom3,mom4,mom5,mom6,BB_up_percen1,BB_up_percen2,BB_up_percen3,BB_up_percen4,BB_up_percen5,BB_up_percen6,cci1,cci2,cci3,cci4,cci5,cci6,force1,force2,force3,force4,force5,force6,macd1,macd2,macd3,macd4,macd5,macd6,bearsPower1,bearsPower2,bearsPower3,bearsPower4,bearsPower5,bearsPower6,bullsPower1,bullsPower2,bullsPower3,bullsPower4,bullsPower5,bullsPower6,WPR1,WPR2,WPR3,WPR4,WPR5,WPR6,close1,close2,close3,close4,close5,close6,hour,dayOfWeek,tipo
30.27,30.57,25.02,33.32,35.97,41.92,23.33,33.37,43.36,51.3,46,40.33,-0.0012,-0.00129,-0.00173,-0.00088,-0.00073,-0.00033,-0.00082,-0.00084,-0.001,-0.00064,-0.00057,-0.00041,-0.00067,-0.00067,-0.00074,-0.00056,-0.00053,-0.00044,-1.21306,-0.0005,-0.00054,-0.00044,-0.00043,-0.00038,0.00704,0.00644,0.00562,0.00375,0.00346,0.00323,98.66,98.82,98.25,98.91,98.97,99.45,0.02,-0.05,-0.31,-0.11,-0.05,0.22,-130.96,-174.23,-255.79,-185.84,-296.53,-64.43,-16.15,-22.01,-41.21,-30.49,-16.03,-5.03,-0.00507,-0.00464,-0.00406,-0.00297,-0.00253,-0.00218,-0.01133,-0.01296,-0.01763,-0.01013,-0.02061,-0.0024,-0.0074,-0.00923,-0.0041,0.00046,0.00066,-0.00015,-78.83,-77.5,-88.01,-54.9,-47.89,-69.59,1.1626,1.1626,1.1626,1.1626,1.1626,1.1626,4,5,1
30.79,30.27,30.57,25.02,33.32,35.97,28.44,23.33,33.37,43.36,51.3,46,-0.00106,-0.0012,-0.00129,-0.00173,-0.00088,-0.00073,-0.00078,-0.00082,-0.00084,-0.001,-0.00064,-0.00057,-0.00065,-0.00067,-0.00067,-0.00074,-0.00056,-0.00053,-1.21256,-0.0005,-0.0005,-0.00054,-0.00044,-0.00043,0.00737,0.00704,0.00644,0.00562,0.00375,0.00346,98.78,98.66,98.82,98.25,98.91,98.97,0.08,0.02,-0.05,-0.31,-0.11,-0.05,-96.15,-130.96,-174.23,-255.79,-185.84,-296.53,-14.88,-16.15,-22.01,-41.21,-30.49,-16.03,-0.00532,-0.00507,-0.00464,-0.00406,-0.00297,-0.00253,-0.00759,-0.01133,-0.01296,-0.01763,-0.01013,-0.02061,-0.00553,-0.0074,-0.00923,-0.0041,0.00046,0.00066,-77.9,-78.83,-77.5,-88.01,-54.9,-47.89,1.1629,1.1629,1.1629,1.1629,1.1629,1.1629,8,5,1
30.72,30.79,30.27,30.57,25.02,33.32,32.41,28.44,23.33,33.37,43.36,51.3,-0.00097,-0.00106,-0.0012,-0.00129,-0.00173,-0.00088,-0.00075,-0.00078,-0.00082,-0.00084,-0.001,-0.00064,-0.00064,-0.00065,-0.00067,-0.00067,-0.00074,-0.00056,-1.21207,-0.00049,-0.0005,-0.0005,-0.00054,-0.00044,0.00743,0.00737,0.00704,0.00644,0.00562,0.00375,98.77,98.78,98.66,98.82,98.25,98.91,0.12,0.08,0.02,-0.05,-0.31,-0.11,-84.99,-96.15,-130.96,-174.23,-255.79,-185.84,-27.72,-14.88,-16.15,-22.01,-41.21,-30.49,-0.00547,-0.00532,-0.00507,-0.00464,-0.00406,-0.00297,-0.00793,-0.00759,-0.01133,-0.01296,-0.01763,-0.01013,-0.00425,-0.00553,-0.0074,-0.00923,-0.0041,0.00046,-78.15,-77.9,-78.83,-77.5,-88.01,-54.9,1.1628,1.1628,1.1628,1.1628,1.1628,1.1628,12,5,1
26.8,30.72,30.79,30.27,30.57,25.02,32.04,32.41,28.44,23.33,33.37,43.36,-0.00129,-0.00097,-0.00106,-0.0012,-0.00129,-0.00173,-0.00089,-0.00075,-0.00078,-0.00082,-0.00084,-0.001,-0.00071,-0.00064,-0.00065,-0.00067,-0.00067,-0.00074,-1.21158,-0.00049,-0.00049,-0.0005,-0.0005,-0.00054,0.00785,0.00743,0.00737,0.00704,0.00644,0.00562,98.25,98.77,98.78,98.66,98.82,98.25,0.04,0.12,0.08,0.02,-0.05,-0.31,-98.41,-84.99,-96.15,-130.96,-174.23,-255.79,-26.2,-27.72,-14.88,-16.15,-22.01,-41.21,-0.00587,-0.00547,-0.00532,-0.00507,-0.00464,-0.00406,-0.01016,-0.00793,-0.00759,-0.01133,-0.01296,-0.01763,-0.00408,-0.00425,-0.00553,-0.0074,-0.00923,-0.0041,-93.88,-78.15,-77.9,-78.83,-77.5,-88.01,1.1584,1.1584,1.1584,1.1584,1.1584,1.1584,16,5,1
23.98,26.8,30.72,30.79,30.27,30.57,39.87,32.04,32.41,28.44,23.33,33.37,-0.00152,-0.00129,-0.00097,-0.00106,-0.0012,-0.00129,-0.00101,-0.00089,-0.00075,-0.00078,-0.00082,-0.00084,-0.00077,-0.00071,-0.00064,-0.00065,-0.00067,-0.00067,-1.21105,-0.00053,-0.00049,-0.00049,-0.0005,-0.0005,0.00856,0.00785,0.00743,0.00737,0.00704,0.00644,98.32,98.25,98.77,98.78,98.66,98.82,0,0.04,0.12,0.08,0.02,-0.05,-133.17,-98.41,-84.99,-96.15,-130.96,-174.23,-71.21,-26.2,-27.72,-14.88,-16.15,-22.01,-0.00642,-0.00587,-0.00547,-0.00532,-0.00507,-0.00464,-0.01975,-0.01016,-0.00793,-0.00759,-0.01133,-0.01296,-0.00718,-0.00408,-0.00425,-0.00553,-0.0074,-0.00923,-77.34,-93.88,-78.15,-77.9,-78.83,-77.5,1.1547,1.1547,1.1547,1.1547,1.1547,1.1547,20,5,0
27.95,23.98,26.8,30.72,30.79,30.27,45.12,39.87,32.04,32.41,28.44,23.33,-0.00121,-0.00152,-0.00129,-0.00097,-0.00106,-0.0012,-0.0009,-0.00101,-0.00089,-0.00075,-0.00078,-0.00082,-0.00072,-0.00077,-0.00071,-0.00064,-0.00065,-0.00067,-1.21049,-0.00056,-0.00053,-0.00049,-0.00049,-0.0005,0.00906,0.00856,0.00785,0.00743,0.00737,0.00704,97.81,98.32,98.25,98.77,98.78,98.66,0.11,0,0.04,0.12,0.08,0.02,-94.13,-133.17,-98.41,-84.99,-96.15,-130.96,-28.45,-71.21,-26.2,-27.72,-14.88,-16.15,-0.00663,-0.00642,-0.00587,-0.00547,-0.00532,-0.00507,-0.01128,-0.01975,-0.01016,-0.00793,-0.00759,-0.01133,-0.00555,-0.00718,-0.00408,-0.00425,-0.00553,-0.0074,-72.2,-77.34,-93.88,-78.15,-77.9,-78.83,1.1565,1.1565,1.1565,1.1565,1.1565,1.1565,0,1,0
29,27.95,23.98,26.8,30.72,30.79,53.65,45.12,39.87,32.04,32.41,28.44,-0.00105,-0.00121,-0.00152,-0.00129,-0.00097,-0.00106,-0.00084,-0.0009,-0.00101,-0.00089,-0.00075,-0.00078,-0.00069,-0.00072,-0.00077,-0.00071,-0.00064,-0.00065,-1.20995,-0.00054,-0.00056,-0.00053,-0.00049,-0.00049,0.00928,0.00906,0.00856,0.00785,0.00743,0.00737,98.16,97.81,98.32,98.25,98.77,98.78,0.16,0.11,0,0.04,0.12,0.08,-83.59,-94.13,-133.17,-98.41,-84.99,-96.15,-15.6,-28.45,-71.21,-26.2,-27.72,-14.88,-0.00668,-0.00663,-0.00642,-0.00587,-0.00547,-0.00532,-0.0081,-0.01128,-0.01975,-0.01016,-0.00793,-0.00759,-0.00598,-0.00555,-0.00718,-0.00408,-0.00425,-0.00553,-66.82,-72.2,-77.34,-93.88,-78.15,-77.9,1.157,1.157,1.157,1.157,1.157,1.157,4,1,0
28.2,29,27.95,23.98,26.8,30.72,57.54,53.65,45.12,39.87,32.04,32.41,-0.00103,-0.00105,-0.00121,-0.00152,-0.00129,-0.00097,-0.00084,-0.00084,-0.0009,-0.00101,-0.00089,-0.00075,-0.0007,-0.00069,-0.00072,-0.00077,-0.00071,-0.00064,-1.20942,-0.00053,-0.00054,-0.00056,-0.00053,-0.00049,0.00949,0.00928,0.00906,0.00856,0.00785,0.00743,98.07,98.16,97.81,98.32,98.25,98.77,0.18,0.16,0.11,0,0.04,0.12,-82.9,-83.59,-94.13,-133.17,-98.41,-84.99,-13.21,-15.6,-28.45,-71.21,-26.2,-27.72,-0.00671,-0.00668,-0.00663,-0.00642,-0.00587,-0.00547,-0.00704,-0.0081,-0.01128,-0.01975,-0.01016,-0.00793,-0.00496,-0.00598,-0.00555,-0.00718,-0.00408,-0.00425,-69.43,-66.82,-72.2,-77.34,-93.88,-78.15,1.1561,1.1561,1.1561,1.1561,1.1561,1.1561,8,1,0
39.43,28.2,29,27.95,23.98,26.8,69.2,57.54,53.65,45.12,39.87,32.04,-0.00042,-0.00103,-0.00105,-0.00121,-0.00152,-0.00129,-0.0006,-0.00084,-0.00084,-0.0009,-0.00101,-0.00089,-0.00058,-0.0007,-0.00069,-0.00072,-0.00077,-0.00071,-1.20889,-0.00053,-0.00053,-0.00054,-0.00056,-0.00053,0.00927,0.00949,0.00928,0.00906,0.00856,0.00785,98.65,98.07,98.16,97.81,98.32,98.25,0.34,0.18,0.16,0.11,0,0.04,-35.82,-82.9,-83.59,-94.13,-133.17,-98.41,-15.89,-13.21,-15.6,-28.45,-71.21,-26.2,-0.00623,-0.00671,-0.00668,-0.00663,-0.00642,-0.00587,-0.00706,-0.00704,-0.0081,-0.01128,-0.01975,-0.01016,0.00055,-0.00496,-0.00598,-0.00555,-0.00718,-0.00408,-52.46,-69.43,-66.82,-72.2,-77.34,-93.88,1.1615,1.1615,1.1615,1.1615,1.1615,1.1615,12,1,1
38.77,39.43,28.2,29,27.95,23.98,76.49,69.2,57.54,53.65,45.12,39.87,-0.00043,-0.00042,-0.00103,-0.00105,-0.00121,-0.00152,-0.0006,-0.0006,-0.00084,-0.00084,-0.0009,-0.00101,-0.00058,-0.00058,-0.0007,-0.00069,-0.00072,-0.00077,-1.20842,-0.00047,-0.00053,-0.00053,-0.00054,-0.00056,0.00886,0.00927,0.00949,0.00928,0.00906,0.00856,98.66,98.65,98.07,98.16,97.81,98.32,0.35,0.34,0.18,0.16,0.11,0,-9.78,-35.82,-82.9,-83.59,-94.13,-133.17,-7.42,-15.89,-13.21,-15.6,-28.45,-71.21,-0.00582,-0.00623,-0.00671,-0.00668,-0.00663,-0.00642,-0.00352,-0.00706,-0.00704,-0.0081,-0.01128,-0.01975,0.00022,0.00055,-0.00496,-0.00598,-0.00555,-0.00718,-53.94,-52.46,-69.43,-66.82,-72.2,-77.34,1.161,1.161,1.161,1.161,1.161,1.161,16,1,1
38.51,38.77,39.43,28.2,29,27.95,82.8,76.49,69.2,57.54,53.65,45.12,-0.00041,-0.00043,-0.00042,-0.00103,-0.00105,-0.00121,-0.00058,-0.0006,-0.0006,-0.00084,-0.00084,-0.0009,-0.00057,-0.00058,-0.00058,-0.0007,-0.00069,-0.00072,-1.20795,-0.00047,-0.00047,-0.00053,-0.00053,-0.00054,0.0087,0.00886,0.00927,0.00949,0.00928,0.00906,99.02,98.66,98.65,98.07,98.16,97.81,0.36,0.35,0.34,0.18,0.16,0.11,20.7,-9.78,-35.82,-82.9,-83.59,-94.13,-5.25,-7.42,-15.89,-13.21,-15.6,-28.45,-0.00546,-0.00582,-0.00623,-0.00671,-0.00668,-0.00663,-0.00189,-0.00352,-0.00706,-0.00704,-0.0081,-0.01128,0.00198,0.00022,0.00055,-0.00496,-0.00598,-0.00555,-52.59,-53.94,-52.46,-69.43,-66.82,-72.2,1.1608,1.1608,1.1608,1.1608,1.1608,1.1608,20,1,1
38.3,38.51,38.77,39.43,28.2,29,70.27,82.8,76.49,69.2,57.54,53.65,-0.00038,-0.00041,-0.00043,-0.00042,-0.00103,-0.00105,-0.00056,-0.00058,-0.0006,-0.0006,-0.00084,-0.00084,-0.00056,-0.00057,-0.00058,-0.00058,-0.0007,-0.00069,-1.20748,-0.00047,-0.00047,-0.00047,-0.00053,-0.00053,0.0078,0.0087,0.00886,0.00927,0.00949,0.00928,99.21,99.02,98.66,98.65,98.07,98.16,0.37,0.36,0.35,0.34,0.18,0.16,25.85,20.7,-9.78,-35.82,-82.9,-83.59,0.12,-5.25,-7.42,-15.89,-13.21,-15.6,-0.00512,-0.00546,-0.00582,-0.00623,-0.00671,-0.00668,-0.00162,-0.00189,-0.00352,-0.00706,-0.00704,-0.0081,-0.00004,0.00198,0.00022,0.00055,-0.00496,-0.00598,-39.72,-52.59,-53.94,-52.46,-69.43,-66.82,1.1606,1.1606,1.1606,1.1606,1.1606,1.1606,0,2,1
35.22,35.83,38.3,38.51,38.77,39.43,42.83,56.69,70.27,82.8,76.49,69.2,-0.00051,-0.00052,-0.00038,-0.00041,-0.00043,-0.00042,-0.00061,-0.00061,-0.00056,-0.00058,-0.0006,-0.0006,-0.00058,-0.00059,-0.00056,-0.00057,-0.00058,-0.00058,-1.20653,-0.00048,-0.00047,-0.00047,-0.00047,-0.00047,0.00638,0.00718,0.0078,0.0087,0.00886,0.00927,99.6,99.89,99.21,99.02,98.66,98.65,0.33,0.33,0.37,0.36,0.35,0.34,-30.23,-16.87,25.85,20.7,-9.78,-35.82,-1.15,-1.05,0.12,-5.25,-7.42,-15.89,-0.00478,-0.00494,-0.00512,-0.00546,-0.00582,-0.00623,-0.00344,-0.00405,-0.00162,-0.00189,-0.00352,-0.00706,-0.00196,-0.0004,-0.00004,0.00198,0.00022,0.00055,-34.27,-31.88,-39.72,-52.59,-53.94,-52.46,1.1583,1.1583,1.1583,1.1583,1.1583,1.1583,8,2,0
40.2,35.22,35.83,38.3,38.51,38.77,37.7,42.83,56.69,70.27,82.8,76.49,-0.00027,-0.00051,-0.00052,-0.00038,-0.00041,-0.00043,-0.0005,-0.00061,-0.00061,-0.00056,-0.00058,-0.0006,-0.00053,-0.00058,-0.00059,-0.00056,-0.00057,-0.00058,-1.20605,-0.00048,-0.00048,-0.00047,-0.00047,-0.00047,0.0055,0.00638,0.00718,0.0078,0.0087,0.00886,99.81,99.6,99.89,99.21,99.02,98.66,0.44,0.33,0.33,0.37,0.36,0.35,7.8,-30.23,-16.87,25.85,20.7,-9.78,-1.66,-1.15,-1.05,0.12,-5.25,-7.42,-0.00444,-0.00478,-0.00494,-0.00512,-0.00546,-0.00582,-0.004,-0.00344,-0.00405,-0.00162,-0.00189,-0.00352,0.00006,-0.00196,-0.0004,-0.00004,0.00198,0.00022,-23.34,-34.27,-31.88,-39.72,-52.59,-53.94,1.1604,1.1604,1.1604,1.1604,1.1604,1.1604,12,2,1
40.09,40.2,35.22,35.83,38.3,38.51,44.98,37.7,42.83,56.69,70.27,82.8,-0.00025,-0.00027,-0.00051,-0.00052,-0.00038,-0.00041,-0.00049,-0.0005,-0.00061,-0.00061,-0.00056,-0.00058,-0.00052,-0.00053,-0.00058,-0.00059,-0.00056,-0.00057,-1.2056,-0.00045,-0.00048,-0.00048,-0.00047,-0.00047,0.00449,0.0055,0.00638,0.00718,0.0078,0.0087,99.78,99.81,99.6,99.89,99.21,99.02,0.47,0.44,0.33,0.33,0.37,0.36,24.26,7.8,-30.23,-16.87,25.85,20.7,-1.62,-1.66,-1.15,-1.05,0.12,-5.25,-0.00412,-0.00444,-0.00478,-0.00494,-0.00512,-0.00546,-0.00385,-0.004,-0.00344,-0.00405,-0.00162,-0.00189,0.00068,0.00006,-0.00196,-0.0004,-0.00004,0.00198,-23.71,-23.34,-34.27,-31.88,-39.72,-52.59,1.1603,1.1603,1.1603,1.1603,1.1603,1.1603,16,2,1
32.23,40.09,40.2,35.22,35.83,38.3,39.77,44.98,37.7,42.83,56.69,70.27,-0.00076,-0.00025,-0.00027,-0.00051,-0.00052,-0.00038,-0.00069,-0.00049,-0.0005,-0.00061,-0.00061,-0.00056,-0.00062,-0.00052,-0.00053,-0.00058,-0.00059,-0.00056,-1.20515,-0.00045,-0.00045,-0.00048,-0.00048,-0.00047,0.00392,0.00449,0.0055,0.00638,0.00718,0.0078,99.3,99.78,99.81,99.6,99.89,99.21,0.11,0.47,0.44,0.33,0.33,0.37,-65.59,24.26,7.8,-30.23,-16.87,25.85,-2.64,-1.62,-1.66,-1.15,-1.05,0.12,-0.00428,-0.00412,-0.00444,-0.00478,-0.00494,-0.00512,-0.00552,-0.00385,-0.004,-0.00344,-0.00405,-0.00162,0.00051,0.00068,0.00006,-0.00196,-0.0004,-0.00004,-51.15,-23.71,-23.34,-34.27,-31.88,-39.72,1.1547,1.1547,1.1547,1.1547,1.1547,1.1547,20,2,0
32.54,32.23,40.09,40.2,35.22,35.83,24.48,39.77,44.98,37.7,42.83,56.69,-0.00068,-0.00076,-0.00025,-0.00027,-0.00051,-0.00052,-0.00066,-0.00069,-0.00049,-0.0005,-0.00061,-0.00061,-0.00061,-0.00062,-0.00052,-0.00053,-0.00058,-0.00059,-1.20465,-0.0005,-0.00045,-0.00045,-0.00048,-0.00048,0.0034,0.00392,0.00449,0.0055,0.00638,0.00718,99.69,99.3,99.78,99.81,99.6,99.89,0.1,0.11,0.47,0.44,0.33,0.33,-100.83,-65.59,24.26,7.8,-30.23,-16.87,0.03,-2.64,-1.62,-1.66,-1.15,-1.05,-0.00435,-0.00428,-0.00412,-0.00444,-0.00478,-0.00494,-0.00515,-0.00552,-0.00385,-0.004,-0.00344,-0.00405,-0.00347,0.00051,0.00068,0.00006,-0.00196,-0.0004,-50.48,-51.15,-23.71,-23.34,-34.27,-31.88,1.1548,1.1548,1.1548,1.1548,1.1548,1.1548,0,3,0
35.75,32.54,32.23,40.09,40.2,35.22,14.81,24.48,39.77,44.98,37.7,42.83,-0.0005,-0.00068,-0.00076,-0.00025,-0.00027,-0.00051,-0.00058,-0.00066,-0.00069,-0.00049,-0.0005,-0.00061,-0.00057,-0.00061,-0.00062,-0.00052,-0.00053,-0.00058,-1.20415,-0.0005,-0.0005,-0.00045,-0.00045,-0.00048,0.00331,0.0034,0.00392,0.00449,0.0055,0.00638,100.12,99.69,99.3,99.78,99.81,99.6,0.23,0.1,0.11,0.47,0.44,0.33,-93,-100.83,-65.59,24.26,7.8,-30.23,-0.09,0.03,-2.64,-1.62,-1.66,-1.15,-0.00425,-0.00435,-0.00428,-0.00412,-0.00444,-0.00478,-0.00462,-0.00515,-0.00552,-0.00385,-0.004,-0.00344,-0.00226,-0.00347,0.00051,0.00068,0.00006,-0.00196,-72.55,-50.48,-51.15,-23.71,-23.34,-34.27,1.156,1.156,1.156,1.156,1.156,1.156,4,3,0
39.12,35.75,32.54,32.23,40.09,40.2,28.39,14.81,24.48,39.77,44.98,37.7,-0.00032,-0.0005,-0.00068,-0.00076,-0.00025,-0.00027,-0.00051,-0.00058,-0.00066,-0.00069,-0.00049,-0.0005,-0.00053,-0.00057,-0.00061,-0.00062,-0.00052,-0.00053,-1.20367,-0.00048,-0.0005,-0.0005,-0.00045,-0.00045,0.00318,0.00331,0.0034,0.00392,0.00449,0.0055,100.08,100.12,99.69,99.3,99.78,99.81,0.37,0.23,0.1,0.11,0.47,0.44,-47.83,-93,-100.83,-65.59,24.26,7.8,0.12,-0.09,0.03,-2.64,-1.62,-1.66,-0.00402,-0.00425,-0.00435,-0.00428,-0.00412,-0.00444,-0.0027,-0.00462,-0.00515,-0.00552,-0.00385,-0.004,-0.001,-0.00226,-0.00347,0.00051,0.00068,0.00006,-65.24,-72.55,-50.48,-51.15,-23.71,-23.34,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,8,3,0
38.5,39.12,35.75,32.54,32.23,40.09,40.19,28.39,14.81,24.48,39.77,44.98,-0.00033,-0.00032,-0.0005,-0.00068,-0.00076,-0.00025,-0.0005,-0.00051,-0.00058,-0.00066,-0.00069,-0.00049,-0.00053,-0.00053,-0.00057,-0.00061,-0.00062,-0.00052,-1.20321,-0.00046,-0.00048,-0.0005,-0.0005,-0.00045,0.00305,0.00318,0.00331,0.0034,0.00392,0.00449,100,100.08,100.12,99.69,99.3,99.78,0.36,0.37,0.23,0.1,0.11,0.47,-52.52,-47.83,-93,-100.83,-65.59,24.26,0.58,0.12,-0.09,0.03,-2.64,-1.62,-0.00382,-0.00402,-0.00425,-0.00435,-0.00428,-0.00412,-0.00364,-0.0027,-0.00462,-0.00515,-0.00552,-0.00385,0.00047,-0.001,-0.00226,-0.00347,0.00051,0.00068,-69.21,-65.24,-72.55,-50.48,-51.15,-23.71,1.157,1.157,1.157,1.157,1.157,1.157,12,3,0
51.8,38.5,39.12,35.75,32.54,32.23,67.01,40.19,28.39,14.81,24.48,39.77,0.0003,-0.00033,-0.00032,-0.0005,-0.00068,-0.00076,-0.00024,-0.0005,-0.00051,-0.00058,-0.00066,-0.00069,-0.0004,-0.00053,-0.00053,-0.00057,-0.00061,-0.00062,-1.20275,-0.00046,-0.00046,-0.00048,-0.0005,-0.0005,0.00323,0.00305,0.00318,0.00331,0.0034,0.00392,100.61,100,100.08,100.12,99.69,99.3,0.95,0.36,0.37,0.23,0.1,0.11,91.42,-52.52,-47.83,-93,-100.83,-65.59,1.23,0.58,0.12,-0.09,0.03,-2.64,-0.00312,-0.00382,-0.00402,-0.00425,-0.00435,-0.00428,-0.00254,-0.00364,-0.0027,-0.00462,-0.00515,-0.00552,0.00462,0.00047,-0.001,-0.00226,-0.00347,0.00051,-6,-69.21,-65.24,-72.55,-50.48,-51.15,1.1632,1.1632,1.1632,1.1632,1.1632,1.1632,16,3,1
42.44,51.8,38.5,39.12,35.75,32.54,52.08,67.01,40.19,28.39,14.81,24.48,-0.00029,0.0003,-0.00033,-0.00032,-0.0005,-0.00068,-0.00046,-0.00024,-0.0005,-0.00051,-0.00058,-0.00066,-0.00051,-0.0004,-0.00053,-0.00053,-0.00057,-0.00061,-1.20236,-0.00039,-0.00046,-0.00046,-0.00048,-0.0005,0.00307,0.00323,0.00305,0.00318,0.00331,0.0034,99.64,100.61,100,100.08,100.12,99.69,0.41,0.95,0.36,0.37,0.23,0.1,68.16,91.42,-52.52,-47.83,-93,-100.83,-4.77,1.23,0.58,0.12,-0.09,0.03,-0.00301,-0.00312,-0.00382,-0.00402,-0.00425,-0.00435,-0.00231,-0.00254,-0.00364,-0.0027,-0.00462,-0.00515,0.00915,0.00462,0.00047,-0.001,-0.00226,-0.00347,-75.88,-6,-69.21,-65.24,-72.55,-50.48,1.1573,1.1573,1.1573,1.1573,1.1573,1.1573,20,3,0
48.47,42.44,51.8,38.5,39.12,35.75,51.03,52.08,67.01,40.19,28.39,14.81,0.00007,-0.00029,0.0003,-0.00033,-0.00032,-0.0005,-0.0003,-0.00046,-0.00024,-0.0005,-0.00051,-0.00058,-0.00043,-0.00051,-0.0004,-0.00053,-0.00053,-0.00057,-1.20191,-0.00045,-0.00039,-0.00046,-0.00046,-0.00048,0.00309,0.00307,0.00323,0.00305,0.00318,0.00331,99.99,99.64,100.61,100,100.08,100.12,0.75,0.41,0.95,0.36,0.37,0.23,29.72,68.16,91.42,-52.52,-47.83,-93,0.04,-4.77,1.23,0.58,0.12,-0.09,-0.00261,-0.00301,-0.00312,-0.00382,-0.00402,-0.00425,-0.00291,-0.00231,-0.00254,-0.00364,-0.0027,-0.00462,0.002,0.00915,0.00462,0.00047,-0.001,-0.00226,-50.47,-75.88,-6,-69.21,-65.24,-72.55,1.1609,1.1609,1.1609,1.1609,1.1609,1.1609,0,4,1
45.71,46.81,48.47,42.44,51.8,38.5,37.2,36.22,51.03,52.08,67.01,40.19,-0.00011,-0.00004,0.00007,-0.00029,0.0003,-0.00033,-0.00035,-0.00033,-0.0003,-0.00046,-0.00024,-0.0005,-0.00045,-0.00044,-0.00043,-0.00051,-0.0004,-0.00053,-1.20109,-0.00042,-0.00041,-0.00045,-0.00039,-0.00046,0.00266,0.00282,0.00309,0.00307,0.00323,0.00305,99.86,99.91,99.99,99.64,100.61,100,0.53,0.62,0.75,0.41,0.95,0.36,46.5,78.72,29.72,68.16,91.42,-52.52,0.06,-0.22,0.04,-4.77,1.23,0.58,-0.00219,-0.00235,-0.00261,-0.00301,-0.00312,-0.00382,-0.00033,-0.00015,-0.00291,-0.00231,-0.00254,-0.00364,0.00171,0.00372,0.002,0.00915,0.00462,0.00047,-63.68,-58.44,-50.47,-75.88,-6,-69.21,1.159,1.159,1.159,1.159,1.159,1.159,8,4,0
51.21,45.71,46.81,48.47,42.44,51.8,38.44,37.2,36.22,51.03,52.08,67.01,0.00021,-0.00011,-0.00004,0.00007,-0.00029,0.0003,-0.00021,-0.00035,-0.00033,-0.0003,-0.00046,-0.00024,-0.00037,-0.00045,-0.00044,-0.00043,-0.00051,-0.0004,-1.20067,-0.00042,-0.00042,-0.00041,-0.00045,-0.00039,0.00271,0.00266,0.00282,0.00309,0.00307,0.00323,100.3,99.86,99.91,99.99,99.64,100.61,0.84,0.53,0.62,0.75,0.41,0.95,86.75,46.5,78.72,29.72,68.16,91.42,2.49,0.06,-0.22,0.04,-4.77,1.23,-0.00177,-0.00219,-0.00235,-0.00261,-0.00301,-0.00312,-0.0021,-0.00033,-0.00015,-0.00291,-0.00231,-0.00254,0.00327,0.00171,0.00372,0.002,0.00915,0.00462,-40.42,-63.68,-58.44,-50.47,-75.88,-6,1.1623,1.1623,1.1623,1.1623,1.1623,1.1623,12,4,1
42.39,51.21,45.71,46.81,48.47,42.44,36.02,38.44,37.2,36.22,51.03,52.08,-0.0004,0.00021,-0.00011,-0.00004,0.00007,-0.00029,-0.00044,-0.00021,-0.00035,-0.00033,-0.0003,-0.00046,-0.00049,-0.00037,-0.00045,-0.00044,-0.00043,-0.00051,-1.20028,-0.00038,-0.00042,-0.00042,-0.00041,-0.00045,0.00255,0.00271,0.00266,0.00282,0.00309,0.00307,99.81,100.3,99.86,99.91,99.99,99.64,0.2,0.84,0.53,0.62,0.75,0.41,-30.27,86.75,46.5,78.72,29.72,68.16,-4.43,2.49,0.06,-0.22,0.04,-4.77,-0.00191,-0.00177,-0.00219,-0.00235,-0.00261,-0.00301,-0.00706,-0.0021,-0.00033,-0.00015,-0.00291,-0.00231,0.00576,0.00327,0.00171,0.00372,0.002,0.00915,-74.35,-40.42,-63.68,-58.44,-50.47,-75.88,1.1561,1.1561,1.1561,1.1561,1.1561,1.1561,16,4,1
27.54,42.39,51.21,45.71,46.81,48.47,20.82,36.02,38.44,37.2,36.22,51.03,-0.00207,-0.0004,0.00021,-0.00011,-0.00004,0.00007,-0.00113,-0.00044,-0.00021,-0.00035,-0.00033,-0.0003,-0.00083,-0.00049,-0.00037,-0.00045,-0.00044,-0.00043,-1.19985,-0.00044,-0.00038,-0.00042,-0.00042,-0.00041,0.00508,0.00255,0.00271,0.00266,0.00282,0.00309,98.08,99.81,100.3,99.86,99.91,99.99,-0.47,0.2,0.84,0.53,0.62,0.75,-313.02,-30.27,86.75,46.5,78.72,29.72,-35.11,-4.43,2.49,0.06,-0.22,0.04,-0.00344,-0.00191,-0.00177,-0.00219,-0.00235,-0.00261,-0.01854,-0.00706,-0.0021,-0.00033,-0.00015,-0.00291,0.00026,0.00576,0.00327,0.00171,0.00372,0.002,-98.02,-74.35,-40.42,-63.68,-58.44,-50.47,1.1382,1.1382,1.1382,1.1382,1.1382,1.1382,20,4,1
